提成计算工具,,,,,,,,,,,
,,,,,,,,,,,
输入参数,数值（元）,,,,,,,,,,
总投入金额,10000.00,,,,,,,,,,
利润额,8000.00,,,,,,,,,,
,,,,,,,,,,,
区间临界点计算,计算公式,数值（元）,,,,,,,,
总投入 × 15%,总投入 × 0.15,1500.00,,,,,,,,
总投入 × 30%,总投入 × 0.30,3000.00,,,,,,,,
总投入 × 50%,总投入 × 0.50,5000.00,,,,,,,,
总投入 × 100%,总投入 × 1.00,10000.00,,,,,,,,
,,,,,,,,,,,
提成计算过程,利润额区间,提成比例,区间起点（元）,区间终点（元）,该区间利润额（元）,计算公式,该区间提成（元）,,,,
1,≤ 总投入 × 15%,15%,0.00,1500.00,1500.00,1500.00 × 15%,225.00,,,,
2,总投入 × 15% 至 总投入 × 30%,20%,1500.00,3000.00,1500.00,1500.00 × 20%,300.00,,,,
3,总投入 × 30% 至 总投入 × 50%,25%,3000.00,5000.00,2000.00,2000.00 × 25%,500.00,,,,
4,总投入 × 50% 至 总投入 × 100%,30%,5000.00,10000.00,3000.00,3000.00 × 30%,900.00,,,,
5,> 总投入 × 100%,35%,10000.00,∞,0.00,0.00 × 35%,0.00,,,,
,,,,,,,,,,,
计算结果汇总,利润额区间,提成比例,该区间利润额（元）,该区间提成（元）,,,,,,
,,≤ 总投入 × 15%（≤ 1500.00 元）,15%,1500.00,225.00,,,,,,
,,总投入 × 15% 至 总投入 × 30%（1500.00 元 至 3000.00 元）,20%,1500.00,300.00,,,,,,
,,总投入 × 30% 至 总投入 × 50%（3000.00 元 至 5000.00 元）,25%,2000.00,500.00,,,,,,
,,总投入 × 50% 至 总投入 × 100%（5000.00 元 至 10000.00 元）,30%,3000.00,900.00,,,,,,
,,> 总投入 × 100%（> 10000.00 元）,35%,0.00,0.00,,,,,,
,,总计,,8000.00,1925.00,,,,,,
,,,,,,,,,,,
使用说明,1. 在输入参数区域修改总投入金额和利润额；2. Excel会自动更新计算结果；3. 如需手动计算，请按照公式计算各区间提成后相加。